ai_review_row_id,cert_gsp_id,cert_company_name,cert_region,cert_sub_region,source_customer_id,source_customer_name,source_region,source_sub_region,mapped_customer_id,mapped_customer_name,mapped_region,mapped_sub_region,match_score,match_basis,row_id,is_related,relation_type,confidence,reason
19,A2026042700246,Servisecur Vigilancia Privada,西欧区,Spain Group,,Servisecur Vigilancia Privada,,,A2021010705532,"Visotrónica, S.A",西欧区,Spain Group,0.4545,名称词元相似匹配,19,否,无明显关系,0.96,'Servisecur Vigilancia Privada' 与 'Visotrónica' 名称无明显对应关系，仅地区一致
20,A2019123000024,"INT Intelligence and Telecom Technologies México, S.A. de C.V",墨西哥区,Mexico Group,A2019123000024,"INT Intelligence and Telecom Technologies México, S.A. de C.V",墨西哥区,Mexico Group,A2019123000024,"INT Intelligence and Telecom Technologies México, S.A. de C.V",墨西哥区,Mexico Group,1.0,账号直接匹配,20,是,同一公司,1.0,公司名与地区完全一致，可视为同一公司
21,A2026042800216,PT Datacore Cipta Integrasi,南洋区,Indonesia Group,,PT Datacore Cipta Integrasi,,,A2023091300338,PT Cipta Sistem Integrasi,南洋区,Indonesia Group,0.6923,名称词元相似匹配,21,否,无明显关系,0.72,同地区，且都含 'Cipta Integrasi'，但前缀分别为 'Datacore' 与 'Sistem'，更像不同公司而非同一主体
22,A2021033022144,Hassoun Group,中东北非区,Saudi Arabia Group,,Hassoun Group,,,A2023060500740,Harmonic Systems,中东北非区,Saudi Arabia Group,0.5333,名称词元相似匹配,22,否,无明显关系,0.95,'Hassoun Group' 与 'Harmonic Systems' 核心名称无关，仅地区相同
23,A2025032200174,Eyecam security,中东北非区,UAE Group,,Eyecam security,,,A2019100100006,Atlas Security LLC,中东北非区,UAE Group,0.6061,名称词元相似匹配,23,否,无明显关系,0.87,同地区，但仅共享通用词 'Security'，'Eyecam' 与 'Atlas' 为不同品牌主体
24,A2018120503750,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A.,巴西区,Brazil Group,,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A.,,,A2018041300019,"TECNO - IT, TECNOLOGIA, SERVICOS E COMUNICACAO SA",巴西区,Brazil Group,0.4828,名称词元相似匹配,24,否,无明显关系,0.96,巴西同地区，但 'LIVETECH DA BAHIA' 与 'TECNO-IT' 名称结构和核心词均不同
25,A2024011700204,PT. Performa Optima Komputindo,南洋区,Indonesia Group,,PT. Performa Optima Komputindo,,,A2023062200036,PT PERFORMA OPTIMA KOMPUTINDO,南洋区,Indonesia Group,1.0,名称标准化后完全一致,25,是,同一公司,1.0,公司名标准化后完全一致，仅大小写和标点差异，为同一公司
26,A2019031800054,DAHUA TECHNOLOGY BRASIL COMÉRCIO E SERVIÇOS EM SEGURANÇA ELETRÔNICA LTDA,巴西区,Brazil Group,,DAHUA TECHNOLOGY BRASIL COMÉRCIO E SERVIÇOS EM SEGURANÇA ELETRÔNICA LTDA,,,A2018021000003,MAHVLA TELECOMM CONSULTORIA E SERVICOS EM TECNOLOGIA LTDA,巴西区,Brazil Group,0.5593,名称词元相似匹配,26,否,无明显关系,0.92,同地区，但仅共享通用行业词 'Technology/Telecomm/Servicos'，核心名称 'DAHUA' 与 'MAHVLA' 不同
27,A2021051807932,BLOKO TECNOLOGIA E INFRAESTRUTURA,巴西区,Brazil Group,,BLOKO TECNOLOGIA E INFRAESTRUTURA,,,A2024010300232,ZOOM TECNOLOGIA LTDA,巴西区,Brazil Group,0.566,名称词元相似匹配,27,否,无明显关系,0.9,同地区，但仅共享通用词 'Tecnologia'，'BLOKO' 与 'ZOOM' 为不同主体
28,A2024010300224,COMDADOS COMERCIO E SERVICOS ELETRONICOS LTDA.,巴西区,Brazil Group,,COMDADOS COMERCIO E SERVICOS ELETRONICOS LTDA.,,,A2022121401104,Led Wave Paineis Eletronicos LTDA,巴西区,Brazil Group,0.6154,名称词元相似匹配,28,否,无明显关系,0.92,同地区，但仅共享通用词 'Eletronicos LTDA'，核心公司名不同
29,A2018120503662,DCA DELTA CABLE AMERICAS LTDA,巴西区,Brazil Group,,DCA DELTA CABLE AMERICAS LTDA,,,A2024010300218,TRIPLA SERVICES LTDA,巴西区,Brazil Group,0.4898,名称词元相似匹配,29,否,无明显关系,0.97,'DCA DELTA CABLE AMERICAS' 与 'TRIPLA SERVICES' 无显著名称重合
30,A2018092900152,BRAKO COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA,巴西区,Brazil Group,,BRAKO COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA,,,A2022121401104,Led Wave Paineis Eletronicos LTDA,巴西区,Brazil Group,0.6,名称词元相似匹配,30,否,无明显关系,0.91,同地区，但仅共享通用词 'Eletronicos LTDA'，'BRAKO' 与 'Led Wave' 不同
31,A2023012000458,REDEPRIME LOGISTICA DO BRASIL LTDA,巴西区,Brazil Group,,REDEPRIME LOGISTICA DO BRASIL LTDA,,,A2019110400063,Telefonica Brasil S.A.,巴西区,Brazil Group,0.5455,名称词元相似匹配,31,否,无明显关系,0.97,'REDEPRIME LOGISTICA DO BRASIL' 与 'Telefonica Brasil' 主体名称和行业指向均不同
32,A2018011800009,INTERJATO SERVICOS DE TELECOMUNICACOES LTDA,巴西区,Brazil Group,,INTERJATO SERVICOS DE TELECOMUNICACOES LTDA,,,A2018041300019,"TECNO - IT, TECNOLOGIA, SERVICOS E COMUNICACAO SA",巴西区,Brazil Group,0.6136,名称词元相似匹配,32,否,无明显关系,0.89,同地区，但仅共享通用行业词 'Telecomunicacoes/Tecnologia/Servicos'，核心名称不一致
33,A2017111300008,TALENTECH - TECNOLOGIA LTDA,巴西区,Brazil Group,,TALENTECH - TECNOLOGIA LTDA,,,A2024100400348,AIDC TECNOLOGIA LTDA,巴西区,Brazil Group,0.8,名称词元相似匹配,33,否,无明显关联,0.93,同属巴西区，但名称核心分别为 TALENTECH 与 AIDC，仅共享泛化词 TECNOLOGIA，不足以证明关联。
34,A2025101200161,Sillis-Solucoes Integradas Logicas Lineares em Infraestrutura e Sistema LTDA,巴西区,Brazil Group,,Sillis-Solucoes Integradas Logicas Lineares em Infraestrutura e Sistema LTDA,,,A2024120500574,TELEFONICA INFRAESTRUTURA E SEGURANCA LTDA,巴西区,Brazil Group,0.5593,名称词元相似匹配,34,否,无明显关联,0.95,同属巴西区，但一方核心是 Sillis，另一方是 Telefonica，仅在基础行业词 INFRAESTRUTURA 上有重合。
35,A2018092600060,"Compania Integra Soluciones, SA de CV",墨西哥区,Mexico Group,,"Compania Integra Soluciones, SA de CV",,,A2021112932360,"SYM Servicios Integrales, SA de CV",墨西哥区,Mexico Group,0.6377,名称词元相似匹配,35,否,无明显关联,0.9,同属墨西哥区，但 Integra/Integrales 属常见描述词，核心品牌 Compania Integra Soluciones 与 SYM 不一致。
36,A2023012000458,REDEPRIME LTDA,巴西区,Brazil Group,,REDEPRIME LTDA,,,A2023122200001,CONTROL - TELEINFORMATICA LTDA,巴西区,Brazil Group,0.4762,名称词元相似匹配,36,否,无明显关联,0.97,同属巴西区，但 REDEPRIME 与 CONTROL TELEINFORMATICA 名称主体完全不同。
37,A2020102914392,AVANTIA TECNOLOGIA E ENGENHARIA S/A - SP,巴西区,Brazil Group,A2020102914392,AVANTIA TECNOLOGIA E ENGENHARIA S/A - SP,巴西区,Brazil Group,A2020102914392,AVANTIA TECNOLOGIA E ENGENHARIA S/A - SP,巴西区,Brazil Group,1.0,账号直接匹配,37,是,同一公司,0.99,账号直接匹配，名称与地区完全一致，可判定为同一公司。
38,A2021082537292,Ac Solucoes Integradas de Informatica Ltda,巴西区,Brazil Group,,Ac Solucoes Integradas de Informatica Ltda,,,A2023122200001,CONTROL - TELEINFORMATICA LTDA,巴西区,Brazil Group,0.6571,名称词元相似匹配,38,否,无明显关联,0.94,同属巴西区，但 AC Solucoes 与 CONTROL TELEINFORMATICA 主体不同，仅有行业通用词重合。
39,A2025090300277,Eagle Digital Surveillance,非洲区,Kenya Group,,Eagle Digital Surveillance,,,A2020032100052,Top Choice Surveillance Limited,非洲区,Kenya Group,0.5714,名称词元相似匹配,39,否,无明显关联,0.88,同属肯尼亚组，但 Eagle Digital Surveillance 与 Top Choice Surveillance 仅共享通用词 Surveillance，缺乏主体重合。
40,A2021011408288,EBS Engineering Corporation,东南亚区,Vietnam Group,A2021011408288,EBS Engineering Corporation,东南亚区,Vietnam Group,A2021011408288,EBS Engineering Corporation,东南亚区,Vietnam Group,1.0,账号直接匹配,40,是,同一公司,0.99,账号直接匹配，名称与地区完全一致，可判定为同一公司。
41,A2020062300153,SOFTNET TECHNOLOGIES LIMITED,非洲区,Tanzania Group,A2020062300153,SOFTNET TECHNOLOGIES LIMITED,非洲区,Tanzania Group,A2020062300153,SOFTNET TECHNOLOGIES LIMITED,非洲区,Tanzania Group,1.0,账号直接匹配,41,是,同一公司,0.99,账号直接匹配，名称与地区完全一致，可判定为同一公司。
42,A2022020803252,Bilal camera,中东北非区,Pakistan Group,,Bilal camera,,,A2022082800198,Vital Tech International,中东北非区,Pakistan Group,0.4516,名称词元相似匹配,42,否,无明显关联,0.96,同属巴基斯坦组，但 Bilal camera 与 Vital Tech International 名称主体完全不同。
43,A2026031100265,Dahua Technology Tanzania,非洲区,Tanzania Group,,Dahua Technology Tanzania,,,A2019031100073,CITCC TANZANIA LIMITED,非洲区,Tanzania Group,0.6429,名称词元相似匹配,43,否,无明显关联,0.89,同属坦桑尼亚组，但 Dahua Technology Tanzania 更像 Dahua 品牌当地实体，CITCC TANZANIA LIMITED 为另一独立主体。
44,A2022011407266,INVENTIONS TECHNOLOGIES CO. LTD,非洲区,Tanzania Group,,INVENTIONS TECHNOLOGIES CO. LTD,,,A2021111008324,Emerging Communications Limited,非洲区,Tanzania Group,0.4848,名称词元相似匹配,44,否,无明显关联,0.94,同属坦桑尼亚组，但 INVENTIONS TECHNOLOGIES 与 Emerging Communications 核心名称无重合。
45,A2025062500087,khadamat facility management llc,中东北非区,UAE Group,,khadamat facility management llc,,,A2018120502085,Emirates Photo Marketing LLC,中东北非区,UAE Group,0.4667,名称词元相似匹配,45,否,无明显关联,0.96,同属阿联酋组，但 khadamat facility management 与 Emirates Photo Marketing 业务词和主体均不一致。
46,A2025101600154,PT. Mahira Mitra Mandiri,南洋区,Indonesia Group,,PT. Mahira Mitra Mandiri,,,A2022042310266,PT Elang Strategi Adidaya,南洋区,Indonesia Group,0.5,名称词元相似匹配,46,否,无明显关联,0.95,同属印尼组，PT 只是常见公司前缀，Mahira Mitra Mandiri 与 Elang Strategi Adidaya 不是同名体系。
47,A2025042500273,SAO BENTO LIGHTING SOLUTIONS LTDA,巴西区,Brazil Group,,SAO BENTO LIGHTING SOLUTIONS LTDA,,,A2023122200001,CONTROL - TELEINFORMATICA LTDA,巴西区,Brazil Group,0.549,名称词元相似匹配,47,否,无明显关联,0.97,同属巴西区，但 SAO BENTO LIGHTING SOLUTIONS 与 CONTROL TELEINFORMATICA 名称主体完全不同。
48,A2018072400032,V2 INTEGRADORA DE SOLUCOES E IMPORTACOES LTDA,巴西区,Brazil Group,,V2 INTEGRADORA DE SOLUCOES E IMPORTACOES LTDA,,,A2023120700724,3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.,巴西区,Brazil Group,0.4938,名称词元相似匹配,48,否,无明显关联,0.93,同属巴西区，但 V2 INTEGRADORA 与 3CORP TECHNOLOGY 为不同主体，重合词多为行业通用词。
49,A2019061200036,LOGIC PRO SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,巴西区,Brazil Group,,LOGIC PRO SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,,,A2018021000003,MAHVLA TELECOMM CONSULTORIA E SERVICOS EM TECNOLOGIA LTDA,巴西区,Brazil Group,0.5741,名称词元相似匹配,49,否,无明显关联,0.91,同属巴西区，但 LOGIC PRO 与 MAHVLA TELECOMM 主体不同，仅在技术服务类描述词上相似。
50,A2020111609584,CONNECTOWAY SOLUCOES INTELIGENTES EM TECNOLOGIA S.A,巴西区,Brazil Group,,CONNECTOWAY SOLUCOES INTELIGENTES EM TECNOLOGIA S.A,,,A2018021000003,MAHVLA TELECOMM CONSULTORIA E SERVICOS EM TECNOLOGIA LTDA,巴西区,Brazil Group,0.5,名称词元相似匹配,50,否,无明显关联,0.92,同属巴西区，但 CONNECTOWAY 与 MAHVLA TELECOMM 主体名称无直接对应关系。
51,A2021050602380,TECNOMARRA SOLUCOES EM SEGURANCA LTDA,巴西区,Brazil Group,,TECNOMARRA SOLUCOES EM SEGURANCA LTDA,,,A2024120500574,TELEFONICA INFRAESTRUTURA E SEGURANCA LTDA,巴西区,Brazil Group,0.6329,名称词元相似匹配,51,否,无明显关联,0.9,同属巴西区，但 TECNOMARRA 与 TELEFONICA 核心品牌不同，仅有 SEGURANCA 等通用词重合。
52,A2023032300366,BestByte Kft.,东北欧区,Hungary Group,,BestByte Kft.,,,A2019053100038,NT SYS Kft.,东北欧区,Hungary Group,0.5455,名称词元相似匹配,52,否,无明显关联,0.95,同属匈牙利组，但 BestByte Kft. 与 NT SYS Kft. 仅共享公司后缀 Kft.，主体不一致。
53,A2022111600600,Deniz Elektronik,东北欧区,Turkey Group,,Deniz Elektronik,,,A2021100503862,DENGE ELEKTRONIK SAN. VE TIC. LTD. STI.,东北欧区,Turkey Group,0.5957,名称词元相似匹配,53,否,无明显关联,0.87,同属土耳其组，但 Deniz 与 Denge 虽拼写接近却不是同词，Elektronik 为通用行业词。
54,A2025090500240,Inversiones Geyser,拉美区,Chile Group,,Inversiones Geyser,,,A2024022700932,AVINVERSIONES S.A.,拉美区,Chile Group,0.7429,名称词元相似匹配,54,否,无明显关联,0.84,同属智利组，但 Inversiones 是高频通用词，Geyser 与 AVINVERSIONES S.A. 缺乏明确主体对应。
55,A2017043000001,Vital,中东北非区,Pakistan Group,,Vital,,,A2022082800198,Vital Tech International,中东北非区,Pakistan Group,0.85,名称标准化后包含匹配,55,存疑,疑似同品牌/同体系,0.62,同属巴基斯坦组，Vital 与 Vital Tech International 共享显著核心词 Vital，但信息不足以确认是否同一公司。
56,A2020121611830,Oasis Enterprises LLC,中东北非区,UAE Group,,Oasis Enterprises LLC,,,A2023112400088,OASIS ENTERPRISES - SOLE PROPRIETORSHIP L.L.C.,中东北非区,UAE Group,0.6562,名称词元相似匹配,56,是,同一公司,0.96,同属阿联酋组，Oasis Enterprises LLC 与 OASIS ENTERPRISES - SOLE PROPRIETORSHIP L.L.C. 仅为法律实体写法差异，高度疑似同一公司。
57,A2026010200054,Vital Karachi,中东北非区,Pakistan Group,,Vital Karachi,,,A2022082800198,Vital Tech International,中东北非区,Pakistan Group,0.5,名称词元相似匹配,57,存疑,疑似同品牌/同体系,0.58,同属巴基斯坦组，Vital Karachi 与 Vital Tech International 共享核心词 Vital，且 Karachi 可能是地区标识，但仍缺少直接证据。
58,A2018120501350,Spectra X Stream PVT Limited,东南亚区,South Asian Association Group,A2018120501350,Spectra X Stream PVT Limited,东南亚区,South Asian Association Group,A2018120501350,Spectra X Stream PVT Limited,东南亚区,South Asian Association Group,1.0,账号直接匹配,58,是,同一公司,0.99,账号直接匹配，名称与地区完全一致，可判定为同一公司。
59,A2024112000318,Alpha Security Services-ISB,中东北非区,Pakistan Group,,Alpha Security Services-ISB,,,A2021032216272,Creative Security & IT Solutions,中东北非区,Pakistan Group,0.5106,名称词元相似匹配,59,否,无明显关联,0.9,同属巴基斯坦组，但 Alpha Security Services-ISB 与 Creative Security & IT Solutions 仅共享 Security 等通用词。
60,A2017122400005,FONMART TECNOLOGIA LTDA,巴西区,Brazil Group,,FONMART TECNOLOGIA LTDA,,,A2024010300232,ZOOM TECNOLOGIA LTDA,巴西区,Brazil Group,0.8372,名称词元相似匹配,60,否,无明显关联,0.86,同属巴西区，但 FONMART 与 ZOOM 为不同主体，TECNOLOGIA 为通用词，不能据此认定关联。
61,A2020061800128,SEGURPRO TECNOLOGIA EM SISTEMAS DE SEGURANCA ELETRONICA E INCENDIOS LTDA,巴西区,Brazil Group,,SEGURPRO TECNOLOGIA EM SISTEMAS DE SEGURANCA ELETRONICA E INCENDIOS LTDA,,,A2018041300019,"TECNO - IT, TECNOLOGIA, SERVICOS E COMUNICACAO SA",巴西区,Brazil Group,0.4786,名称词元相似匹配,61,否,无明显关联,0.92,同属巴西区，但 SEGURPRO 与 TECNO-IT 主体不同，长名称相似主要来自技术服务类通用词。
62,A2017122400004,IPQ Tecnologia LTDA,巴西区,Brazil Group,A2017122400004,IPQ Tecnologia LTDA,巴西区,Brazil Group,A2017122400004,IPQ Tecnologia LTDA,巴西区,Brazil Group,1.0,账号直接匹配,62,是,同一公司,0.99,账号直接匹配，名称与地区完全一致，可判定为同一公司。
63,A2020111710140,C2h Solucoes em Servicos LTDA,巴西区,Brazil Group,,C2h Solucoes em Servicos LTDA,,,A2024010300218,TRIPLA SERVICES LTDA,巴西区,Brazil Group,0.5714,名称词元相似匹配,63,否,无明显关联,0.91,同属巴西区，但 C2h Solucoes em Servicos 与 TRIPLA SERVICES 仅在服务类通用词上相近，主体不同。
64,A2023120700724,3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.,巴西区,Brazil Group,A2023120700724,3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.,巴西区,Brazil Group,A2023120700724,3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.,巴西区,Brazil Group,1.0,账号直接匹配,64,是,同一公司,0.99,账号直接匹配，名称与地区完全一致，可判定为同一公司。
65,A2022050200460,PROCONNECT INSTALACOES LTDA,巴西区,Brazil Group,,PROCONNECT INSTALACOES LTDA,,,A2023120700724,3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.,巴西区,Brazil Group,0.5079,名称词元相似匹配,65,否,无关,0.92,同属巴西区但核心名称“PROCONNECT”与“3CORP”不同，仅行业词重合
66,A2020031000050,COMPWIRE INFORMATICA LTDA.,巴西区,Brazil Group,A2020031000050,COMPWIRE INFORMATICA LTDA.,巴西区,Brazil Group,A2020031000050,COMPWIRE INFORMATICA LTDA.,巴西区,Brazil Group,1.0,账号直接匹配,66,是,同一公司,0.99,账号和公司名完全一致，属于直接匹配
67,A2024010300218,TRIPLA SERVICES LTDA,巴西区,Brazil Group,A2024010300218,TRIPLA SERVICES LTDA,巴西区,Brazil Group,A2024010300218,TRIPLA SERVICES LTDA,巴西区,Brazil Group,1.0,账号直接匹配,67,是,同一公司,0.99,账号和公司名完全一致，属于直接匹配
68,A2022032512874,FIBERX DISTRIBUIDORA DE PRODUTOS DE TELECOMUNICACOES LTDA,巴西区,Brazil Group,,FIBERX DISTRIBUIDORA DE PRODUTOS DE TELECOMUNICACOES LTDA,,,A2021073018336,"CLD Construtora, Lacos Detetores e Eletronica Ltda.",巴西区,Brazil Group,0.5283,名称词元相似匹配,68,否,无关,0.95,主体名称“FIBERX”与“CLD”完全不同，地区一致不足以证明关联
69,A2022121401124,HOW BE TECNOLOGIA E SOLUCOES LTDA,巴西区,Brazil Group,,HOW BE TECNOLOGIA E SOLUCOES LTDA,,,A2024010300232,ZOOM TECNOLOGIA LTDA,巴西区,Brazil Group,0.6415,名称词元相似匹配,69,否,无关,0.9,仅共享通用词“TECNOLOGIA/LTDA”，主体字号“HOW BE”与“ZOOM”不同
70,A2018092900151,SPECTRA SISTEMAS INTEGRADOS LTDA,巴西区,Brazil Group,,SPECTRA SISTEMAS INTEGRADOS LTDA,,,A2024052900748,Transvia Engenharia e Sistemas LTDA,巴西区,Brazil Group,0.5075,名称词元相似匹配,70,否,无关,0.9,仅有通用词“SISTEMAS/LTDA”相近，主体“SPECTRA”与“Transvia”不同
71,A2023042000384,AIPLATES TECNOLOGIA LTDA,巴西区,Brazil Group,,AIPLATES TECNOLOGIA LTDA,,,A2017122400004,IPQ Tecnologia LTDA,巴西区,Brazil Group,0.8372,名称词元相似匹配,71,否,无关,0.84,共享通用词“Tecnologia LTDA”，但“AIPLATES”与“IPQ”不是同一主体
72,A2024052900748,Transvia Engenharia e Sistemas LTDA,巴西区,Brazil Group,A2024052900748,Transvia Engenharia e Sistemas LTDA,巴西区,Brazil Group,A2024052900748,Transvia Engenharia e Sistemas LTDA,巴西区,Brazil Group,1.0,账号直接匹配,72,是,同一公司,0.99,账号和公司名完全一致，属于直接匹配
73,A2019032600056,PERKONS S/A,巴西区,Brazil Group,,PERKONS S/A,,,A2019110400063,Telefonica Brasil S.A.,巴西区,Brazil Group,0.5,名称词元相似匹配,73,否,无关,0.97,主体“PERKONS”与“Telefonica Brasil”明显不同
74,A2019110400063,Telefonica Brasil S.A.,巴西区,Brazil Group,A2019110400063,Telefonica Brasil S.A.,巴西区,Brazil Group,A2019110400063,Telefonica Brasil S.A.,巴西区,Brazil Group,1.0,账号直接匹配,74,是,同一公司,0.99,账号和公司名完全一致，属于直接匹配
75,A2021120101336,DMK3 Tecnologia Ltda,巴西区,Brazil Group,,DMK3 Tecnologia Ltda,,,A2024010300232,ZOOM TECNOLOGIA LTDA,巴西区,Brazil Group,0.85,名称词元相似匹配,75,否,无关,0.84,仅共享通用词“Tecnologia Ltda”，主体“DMK3”与“ZOOM”不同
76,A2021080200948,Semper Vincit Serviços de Tecnologia da Informação LTDA,巴西区,Brazil Group,,Semper Vincit Serviços de Tecnologia da Informação LTDA,,,A2018021000003,MAHVLA TELECOMM CONSULTORIA E SERVICOS EM TECNOLOGIA LTDA,巴西区,Brazil Group,0.5045,名称词元相似匹配,76,否,无关,0.91,名称都含技术服务类通用词，但主体“Semper Vincit”与“MAHVLA”不同
77,A2020012900022,Net Telecom Informatica Ltda,巴西区,Brazil Group,A2020012900022,Net Telecom Informatica Ltda,巴西区,Brazil Group,A2020012900022,Net Telecom Informatica Ltda,巴西区,Brazil Group,1.0,账号直接匹配,77,是,同一公司,0.99,账号和公司名完全一致，属于直接匹配
